epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,2460.84,0.46886,0.28582,0.85211,0.98414,0.98409,0.98734,0.867,0.56266,0.27668,0.83382,8.05e-05,8.05e-05,8.05e-05
134,2479.3,0.46266,0.27956,0.84712,0.98225,0.98472,0.98669,0.86797,0.55631,0.27441,0.83172,7.6375e-05,7.6375e-05,7.6375e-05
135,2497.65,0.45742,0.28137,0.84597,0.98374,0.985,0.98728,0.86835,0.56079,0.27602,0.83297,7.225e-05,7.225e-05,7.225e-05
136,2516.27,0.46451,0.28324,0.84751,0.98398,0.98301,0.98716,0.86813,0.55842,0.27406,0.83332,6.8125e-05,6.8125e-05,6.8125e-05
137,2534.66,0.45648,0.27992,0.84527,0.98291,0.98375,0.98711,0.86802,0.5582,0.27304,0.83216,6.4e-05,6.4e-05,6.4e-05
138,2553.17,0.45686,0.27901,0.84504,0.98458,0.98231,0.98719,0.8686,0.55632,0.2736,0.83155,5.9875e-05,5.9875e-05,5.9875e-05
139,2571.53,0.45127,0.27751,0.84475,0.9849,0.98332,0.98706,0.86785,0.55697,0.27372,0.832,5.575e-05,5.575e-05,5.575e-05
140,2590.03,0.45492,0.27904,0.84823,0.9857,0.98199,0.98728,0.8695,0.55738,0.27342,0.83228,5.1625e-05,5.1625e-05,5.1625e-05
141,2609.91,0.41269,0.2527,0.81974,0.98864,0.97906,0.9876,0.86524,0.5576,0.27377,0.83407,4.75e-05,4.75e-05,4.75e-05
142,2627.85,0.39984,0.2445,0.81477,0.98439,0.98267,0.98737,0.86442,0.55711,0.27169,0.83399,4.3375e-05,4.3375e-05,4.3375e-05
143,2645.98,0.39175,0.24429,0.81579,0.98391,0.98343,0.98731,0.86541,0.55825,0.27185,0.83381,3.925e-05,3.925e-05,3.925e-05
144,2664.15,0.3861,0.24079,0.81485,0.98473,0.98378,0.98717,0.86724,0.55336,0.27018,0.8326,3.5125e-05,3.5125e-05,3.5125e-05
145,2682.13,0.3869,0.24024,0.81288,0.98472,0.98412,0.98726,0.86867,0.55245,0.26957,0.83222,3.1e-05,3.1e-05,3.1e-05
146,2700.26,0.38359,0.23888,0.81335,0.982,0.98427,0.98753,0.86897,0.55109,0.26847,0.83198,2.6875e-05,2.6875e-05,2.6875e-05
147,2718.5,0.37591,0.23716,0.81069,0.98352,0.98388,0.9876,0.86969,0.55022,0.26818,0.83158,2.275e-05,2.275e-05,2.275e-05
148,2736.56,0.37339,0.23518,0.80876,0.98372,0.98432,0.98785,0.86986,0.54844,0.26786,0.83103,1.8625e-05,1.8625e-05,1.8625e-05
149,2754.8,0.37438,0.23392,0.81046,0.98369,0.98461,0.98774,0.87162,0.54626,0.26747,0.83101,1.45e-05,1.45e-05,1.45e-05
150,2772.91,0.36774,0.23331,0.80861,0.98526,0.98482,0.98744,0.87142,0.54636,0.26685,0.83068,1.0375e-05,1.0375e-05,1.0375e-05
